denken an	to think about
erinnern an	to remind of; remind about
sich erinnern an	to remember
sich gewöhnen an	to get used to, become accustomed to
glauben an	to believe in
leiden an	to suffer from
teilnehmen an	to take part in
zweifeln an	to doubt
achten auf	to pay attention to
antworten auf	to answer
sich feuen auf	to look forward to
hoffen auf	to hope for
warten auf	to wait on/for
bestehen aus	to consist of
sich beschäftigen mit	to deal with, be busy with
fragen nach	to ask about
sich sehnen nach	to long for
schmecken nach	to taste of
sich freuen über	to be pleased about
klagen über	to complain about
lachen über	to laugh about
sprechen (reden) über	to talk about
streiten über	to fight about
bitten um	to request
sich kümmern um	to worry about, take care of
halten von	to consider, think of
sich fürchten vor/Angst haben vor	to fear, be afraid of
schützen vor	to protect from
warnen vor	to warn about
