am (an dem) Tage	during the day
Russland ist reich an Mineralien.	Russia is rich in minerals.
Wir warten auf den Frühling.	We're waiting for spring.
Die Lebensbedingungen auf dem Land sind anders.	Living conditions in the country are different.
Auf diesem Gebiet habe ich keine Erfahrung. 	In this field I have no experience.
aus diesem Grund(e)	for this reason
aus Liebe zu einem Freund	out of love for a friend
bei indogermanischen Sprachen	in the case of Indogermanic languages
beim Lesen	in (the process of) reading
Bei uns findet man alles.	At our place (at our house) one finds everything.
Durch diesen Versuch bewies er seine Theorie.	With this experiment he proved his theory.
Ich interessiere mich für die gotische Baukunst.	I'm interested in Gothic architecture.
Er hält mich für wichtig.	He thinks I'm important.
Die Forscher arbeitetein in der Nacht.	The researchers worked at night.
im Land/auf dem Lande	here at home, in the country
dem Buch nach	according to the book
meiner Meinung nach	in my opinion
Nach der Schule gingen die Kinder nach Hause.	After school the children went home.
das Buch über den Aufstand	the book about the revolt
Die Zahl ist um 30% gestiegen.	The number has increased by 30%.
Die Vorlesung beginnt um acht Uhr.	The lecture begins at 8 o'clock.
Das Buch handelt von der Revolution.	The book deals with the revolution.
Vor fünfzig Jahren war der Aufstand.	The revolt was 50 years ago.
Diese Tiere leben von Pflanzen.	These animals live on plants.
Was gibt es zum Essen?	What's for dinner?
zu der Zeit	at that time
Wir bleben heute abend zu Hause.	We'll stay at home tonight.

